                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                0.33586,                0.37457,                0.25797,                0.84479,                0.99952,                      1,                  0.995,                0.93656,                0.99952,                      1,                  0.995,                0.94888,                0.34178,                0.39264,                0.26352,                0.81296,             0.00032385,             0.00032385,             0.00032385
                     62,                0.34728,                  0.388,                0.27621,                0.85863,                0.99961,                      1,                  0.995,                0.94314,                0.99961,                      1,                  0.995,                0.95352,                 0.3461,                0.38982,                0.25698,                0.81263,               0.000309,               0.000309,               0.000309
                     63,                0.33505,                0.39716,                0.25966,                0.85287,                 0.9997,                      1,                  0.995,                0.94949,                 0.9997,                      1,                  0.995,                0.94873,                0.33004,                 0.3886,                0.25128,                 0.8116,             0.00029415,             0.00029415,             0.00029415
                     64,                0.33663,                0.39669,                0.26722,                0.85716,                0.99968,                      1,                  0.995,                0.95237,                0.99968,                      1,                  0.995,                0.94751,                0.32204,                 0.3959,                0.25224,                0.81621,              0.0002793,              0.0002793,              0.0002793
                     65,                0.34047,                0.40245,                0.28301,                 0.8637,                0.99968,                      1,                  0.995,                0.95539,                0.99968,                      1,                  0.995,                0.94576,                0.32344,                 0.3918,                0.25799,                0.81913,             0.00026445,             0.00026445,             0.00026445
                     66,                0.32286,                0.39838,                0.25297,                0.83789,                0.99972,                      1,                  0.995,                0.95809,                0.99908,                0.99265,                  0.995,                0.94601,                0.32685,                0.38838,                  0.263,                0.82265,              0.0002496,              0.0002496,              0.0002496
                     67,                0.31552,                0.41623,                0.24573,                0.85111,                0.99222,                      1,                  0.995,                0.95935,                      1,                0.99138,                  0.995,                0.94124,                0.33348,                0.39445,                0.26158,                0.82831,             0.00023475,             0.00023475,             0.00023475
                     68,                0.32887,                0.39184,                0.26249,                0.84756,                      1,                0.98288,                0.99485,                 0.9485,                      1,                0.98288,                0.99097,                0.93081,                0.34326,                 0.4283,                0.26113,                0.83299,              0.0002199,              0.0002199,              0.0002199
                     69,                0.32323,                0.36206,                0.26769,                0.85906,                0.99153,                0.98529,                0.99478,                0.95264,                0.99153,                0.98529,                0.99399,                0.93773,                0.33426,                0.43176,                0.25691,                0.82949,             0.00020505,             0.00020505,             0.00020505
                     70,                0.30928,                 0.3366,                0.24182,                 0.8636,                0.99264,                 0.9921,                0.99485,                0.95699,                0.99201,                0.98529,                0.99437,                0.94535,                0.31904,                0.42757,                0.25057,                0.82392,              0.0001902,              0.0001902,              0.0001902
                     71,                0.28534,                0.34537,                0.27143,                0.85146,                0.99264,                0.99195,                0.99485,                 0.9559,                0.99204,                0.98529,                 0.9945,                0.95587,                0.31003,                0.41349,                0.24482,                0.82125,             0.00017535,             0.00017535,             0.00017535
                     72,                 0.2752,                 0.3367,                0.25941,                0.81852,                0.99264,                0.99186,                0.99485,                0.95424,                0.99951,                0.99265,                  0.995,                 0.9534,                0.32013,                0.38881,                0.25077,                0.82085,              0.0001605,              0.0001605,              0.0001605
                     73,                 0.2688,                0.34064,                0.23269,                 0.8384,                0.99264,                0.99171,                0.99485,                0.95613,                0.99954,                0.99265,                  0.995,                0.95382,                0.31939,                0.38455,                0.25328,                0.81785,             0.00014565,             0.00014565,             0.00014565
                     74,                0.26219,                0.31511,                 0.2196,                0.81248,                0.99264,                0.99169,                0.99485,                0.95316,                0.99264,                0.99169,                0.99485,                0.95567,                0.31347,                0.38322,                0.25064,                  0.815,              0.0001308,              0.0001308,              0.0001308
                     75,                0.26561,                0.31646,                0.22822,                0.82473,                0.99216,                0.98529,                0.99478,                 0.9609,                0.99216,                0.98529,                0.99478,                0.95433,                0.30524,                 0.3831,                0.24222,                0.81319,             0.00011595,             0.00011595,             0.00011595
                     76,                0.24467,                0.30903,                0.21319,                0.81707,                0.98551,                0.99994,                0.99485,                0.96032,                      1,                0.99223,                  0.995,                0.95244,                0.30515,                0.38005,                0.23598,                0.81259,              0.0001011,              0.0001011,              0.0001011
                     77,                0.26104,                0.30985,                0.21244,                0.81302,                0.98551,                0.99986,                0.99485,                0.95677,                      1,                0.99204,                  0.995,                0.95134,                0.30596,                0.37938,                0.23586,                0.81264,              8.625e-05,              8.625e-05,              8.625e-05
                     78,                0.24881,                0.30883,                0.20932,                0.80535,                 0.9855,                0.99973,                0.99485,                0.96008,                      1,                0.99195,                  0.995,                0.95025,                0.30276,                0.37719,                0.23319,                0.81179,               7.14e-05,               7.14e-05,               7.14e-05
                     79,                0.26209,                0.30123,                0.20796,                0.81147,                 0.9927,                0.99943,                  0.995,                 0.9624,                 0.9927,                0.99943,                  0.995,                0.95471,                0.29837,                 0.3761,                0.23177,                0.80993,              5.655e-05,              5.655e-05,              5.655e-05
                     80,                 0.2461,                0.31516,                0.20295,                0.83609,                 0.9927,                0.99937,                  0.995,                0.96528,                 0.9927,                0.99937,                  0.995,                0.95541,                0.29284,                0.37403,                0.22787,                0.80835,               4.17e-05,               4.17e-05,               4.17e-05
